,Year,N11,N12,N13,N14,N15,N16,N17,N18,N19,N110,N111,N112,N21,N22,N23,N24,N25,N26,N27,N28,N29,N210,N211,N212,Population,Area,Zone1_n,Zone2_c,Zone3_s
新北市永和區,105,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223999,5.71,1,0,0
新北市中和區,105,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414266,20.14,1,0,0
高雄市苓雅區,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,171033,8.15,0,0,1
高雄市旗津區,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28763,1.46,0,0,1
高雄市三民區,106,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,343243,19.79,0,0,1
高雄市新興區,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,51153,1.98,0,0,1
高雄市鹽埕區,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24219,1.42,0,0,1
臺北市大安區,106,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,309969,11.36,1,0,0
臺北市大同區,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129278,5.68,1,0,0
臺北市松山區,106,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,206988,9.29,1,0,0
臺北市萬華區,106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,191850,8.85,1,0,0
臺北市信義區,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,225753,11.21,1,0,0
臺北市中山區,106,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,230710,13.68,1,0,0
臺北市中正區,106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,159608,7.61,1,0,0
臺中市北區,106,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147653,6.94,0,1,0
臺中市南區,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,125067,6.81,0,1,0
臺中市西區,106,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,115627,5.7,0,1,0
臺中市中區,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18450,0.88,0,1,0
新北市板橋區,106,1,1,1,1,1,1,2,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,551480,23.14,1,0,0
新北市蘆洲區,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,201309,7.44,1,0,0
新北市三重區,106,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,387484,16.32,1,0,0
新北市新莊區,106,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,416524,19.74,1,0,0
新北市永和區,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,222585,5.71,1,0,0
新北市中和區,106,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,413590,20.14,1,0,0
